,noun,cnt
2809,맘껏,40
1842,비누,40
405,경비,40
1090,정면,40
1578,로만,40
4198,루프,40
2168,현무암,40
500,구석,40
2574,쥬스,40
1704,몸국,40
4232,다락,40
5384,경사,40
1484,쿠키,40
133,벤치,40
1625,시도,40
3069,노랑,40
5543,온천,40
3787,주심,39
448,물씬,39
2824,라며,39
7594,아시,39
2612,이드,39
6617,밥집,39
688,부족함,39
29,불고기,39
994,워시,39
3568,베드,39
2084,아아,39
7448,비빔밥,39
1184,슬리퍼,39
1188,매트,39
2080,일부,39
912,대정읍,39
7328,입장권,39
4544,오라,39
4872,평균,39
877,환기,39
2072,플레이,39
2935,차지,39
2416,숲속,39
2504,클릭,39
8515,그녀,39
4112,랜드,39
3687,현관문,39
2506,래서,39
1148,쁘띠,39
1998,해당,39
1324,이지,39
2940,마루,39
4205,신발장,39
2283,얼음,39
2694,직전,38
1598,지형,38
2774,꿀맛,38
1267,토요일,38
2373,장비,38
1903,한경면,38
5158,하트,38
1830,요일,38
301,혜택,38
1804,엘리베이터,38
1349,애정,38
4679,변경,38
2671,그늘,38
6756,돌솥밥,38
3131,최애,38
5585,육수,38
5649,팔고,38
5752,도심,38
265,다해,38
2436,그거,38
3455,소고기,38
5346,일간,38
9772,전원주택,38
3161,한창,38
6248,바삭,38
1420,집도,38
5715,실패,38
1018,은퇴,38
4763,시간대,38
1867,시청,37
780,여행가,37
472,전기포트,37
1132,기기,37
3035,피어,37
2829,취하,37
4910,동남아,37
1512,케이,37
4414,밀면,37
3064,컨테이너,37
5163,버터,37
5906,창고,37
1917,대정,37
104,항구,37
4935,인스타그램,37
4200,타운,37
929,자매,37
757,미만,37
2002,친정,37
4340,모바일,37
2306,브레이크,37
5,일주,37
3464,부랴부랴,37
2741,상추,37
9714,우회,37
5179,라르고,36
259,가세,36
6505,리프,36
1379,순이,36
459,헤어,36
318,발급,36
1313,신분,36
19,정이,36
3108,어머니,36
2915,장관,36
2482,골프장,36
15052,기릿,36
3921,신분증,36
5858,전문,36
1053,도장,36
1034,행동,36
2447,좀더,36
6202,엽서,36
1822,플루,36
2663,초원,36
3901,여수,36
4194,우체국,36
1970,치앙마이,36
5807,지하,36
3592,최적,36
6294,홍보,36
434,어요,36
5315,주행,36
1179,모기,36
806,집앞,36
2473,구나,36
396,조만간,36
2563,목적지,36
439,심플,36
1977,스토리,36
6957,지기,36
1098,햇볕,36
6802,주간,36
4596,뚝딱,36
1427,훌쩍,36
5303,집의,36
1641,정비,35
2894,감정,35
4432,고개,35
2698,해외여행,35
357,즈음,35
2769,외국인,35
5240,디자인,35
11411,메리어트,35
2300,숙성,35
863,한편,35
4786,상대,35
4951,정해,35
197,소화,35
5628,은총,35
13607,냉이,35
2270,대중교통,35
4942,집안,35
762,편안함,35
2505,유행,35
6223,브랜드,35
1065,용기,35
264,가라,35
4681,버섯,35
2010,사전,35
667,간이,35
