"행정구역(시군구)별","이동규모별",2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022
"행정구역(시군구)별","이동규모별",총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건),총전입 (건),총전출 (건),순이동 (건)
"양구군","계",2408,2398,10,2422,2486,-64,2214,2516,-302,2125,2513,-388,2202,2324,-122,1989,2291,-302,1618,1753,-135
"인제군","계",2756,3091,-335,3065,3103,-38,2871,3043,-172,2970,3115,-145,3252,3060,192,4018,3433,585,3076,2829,247
"고성군","계",3781,3670,111,4204,4118,86,2581,3913,-1332,2312,2937,-625,2417,2655,-238,3176,2816,360,2561,2350,211
"양양군","계",2425,2517,-92,2669,2617,52,2690,2555,135,2828,2516,312,2816,2534,282,2747,2636,111,2532,2305,227
"충청북도","계",135502,132905,2597,133816,132244,1572,144721,141670,3051,144137,143426,711,160180,159139,1041,156754,155310,1444,140787,136579,4208
"청주시","계",70489,70700,-211,68749,69380,-631,75542,74981,561,75267,75325,-58,91450,88778,2672,88259,85358,2901,78156,75689,2467
"충주시","계",18473,18501,-28,17772,17893,-121,21037,19813,1224,21128,21031,97,20650,20974,-324,21150,21185,-35,18491,18535,-44
"제천시","계",12554,12352,202,12607,12710,-103,12060,12976,-916,12490,12832,-342,11694,12629,-935,11983,12425,-442,11941,11461,480
"보은군","계",2340,2324,16,2315,2284,31,2256,2375,-119,2094,2384,-290,2350,2489,-139,2285,2430,-145,2074,2003,71
"옥천군","계",3038,3154,-116,3050,3301,-251,3217,3368,-151,3077,3226,-149,3180,3453,-273,3427,3490,-63,2861,2851,10
"영동군","계",4520,4378,142,4249,4253,-4,4012,4202,-190,3656,4159,-503,3570,4280,-710,3099,3972,-873,3174,3285,-111
"증평군","계",2910,2594,316,2915,2571,344,2723,2810,-87,3028,2894,134,3171,3334,-163,3095,3242,-147,3383,2701,682
"진천군","계",6254,5402,852,7509,5532,1977,8711,6466,2245,8404,6786,1618,8906,7359,1547,8765,7462,1303,7809,6788,1021
"괴산군","계",3873,3499,374,4004,3612,392,4002,3645,357,4283,4025,258,5046,4624,422,4345,4964,-619,3072,3677,-605
"음성군","계",9023,7900,1123,8558,8624,-66,8791,8888,-97,8697,8577,120,8271,9043,-772,8480,8642,-162,8062,7718,344
"단양군","계",2028,2101,-73,2088,2084,4,2370,2146,224,2013,2187,-174,1892,2176,-284,1866,2140,-274,1764,1871,-107
"충청남도","계",188724,180233,8491,190531,179210,11321,196651,190748,5903,184528,184415,113,205653,204770,883,205983,200175,5808,191535,181484,10051
"천안시","계",63851,58189,5662,65595,58468,7127,71031,63964,7067,66142,62453,3689,76218,71674,4544,70098,69029,1069,65661,64199,1462
"공주시","계",8958,9697,-739,9573,10205,-632,10486,10858,-372,9440,9964,-524,9649,10858,-1209,9841,10006,-165,9722,9220,502
"보령시","계",8339,8826,-487,9113,9396,-283,8045,8624,-579,8624,8962,-338,9699,10084,-385,8749,9427,-678,8182,8386,-204
"아산시","계",28566,26499,2067,31602,27056,4546,28705,27302,1403,27825,26667,1158,32392,30970,1422,36768,30961,5807,34514,29018,5496
"서산시","계",14508,14245,263,14470,14048,422,17990,16562,1428,15321,15081,240,16320,15583,737,17830,16971,859,14774,14530,244
